iter	Passed	Remaining
421	3397	4653
422	3406	4646
423	3415	4639
424	3423	4631
425	3431	4623
426	3439	4616
427	3448	4608
428	3456	4601
429	3465	4593
430	3473	4585
431	3481	4577
432	3490	4570
433	3498	4562
434	3506	4554
435	3515	4547
436	3523	4539
437	3532	4532
438	3542	4526
439	3551	4519
440	3560	4513
441	3569	4506
442	3578	4499
443	3586	4491
444	3595	4484
445	3604	4477
446	3613	4470
447	3622	4463
448	3631	4456
449	3639	4448
450	3648	4441
451	3657	4434
452	3666	4427
453	3675	4419
454	3684	4413
455	3693	4405
456	3702	4398
457	3711	4391
458	3719	4384
459	3728	4376
460	3736	4369
461	3745	4361
462	3754	4354
463	3763	4347
464	3771	4339
465	3779	4331
466	3788	4323
467	3797	4316
468	3804	4307
469	3812	4299
470	3822	4293
471	3831	4286
472	3839	4278
473	3848	4270
474	3856	4262
475	3864	4254
476	3872	4245
477	3880	4237
478	3888	4229
479	3897	4221
480	3905	4213
481	3913	4205
482	3921	4197
483	3930	4190
484	3938	4182
485	3946	4174
486	3954	4165
487	3962	4157
488	3970	4149
489	3978	4141
490	3986	4132
491	3995	4125
492	4004	4117
493	4013	4111
494	4022	4103
495	4031	4096
496	4040	4089
497	4049	4082
498	4058	4074
499	4067	4067
500	4076	4060
501	4085	4053
502	4094	4045
503	4103	4038
504	4111	4030
505	4121	4023
506	4130	4016
507	4138	4008
508	4146	3999
509	4154	3991
510	4163	3983
511	4170	3975
512	4179	3967
513	4187	3959
514	4196	3951
515	4204	3943
516	4212	3935
517	4221	3927
518	4229	3920
519	4238	3912
520	4246	3904
521	4254	3896
522	4262	3888
523	4270	3879
524	4278	3871
525	4286	3863
526	4295	3855
527	4303	3847
528	4311	3839
529	4320	3831
530	4328	3823
531	4337	3815
532	4346	3808
533	4355	3800
534	4363	3792
535	4372	3784
536	4381	3777
537	4390	3770
538	4399	3762
539	4408	3754
540	4416	3746
541	4423	3738
542	4432	3730
543	4440	3722
544	4449	3714
545	4458	3706
546	4466	3699
547	4475	3691
548	4484	3683
549	4492	3675
550	4501	3667
551	4510	3660
552	4517	3651
553	4526	3644
554	4535	3636
555	4543	3628
556	4551	3620
557	4560	3612
558	4569	3604
559	4577	3596
560	4586	3589
561	4595	3581
562	4603	3573
563	4611	3565
564	4620	3557
565	4628	3548
566	4637	3541
567	4645	3533
568	4654	3525
569	4662	3517
570	4671	3509
571	4679	3501
572	4687	3493
573	4696	3485
574	4704	3476
575	4712	3469
576	4720	3460
577	4729	3452
578	4737	3445
579	4746	3437
580	4755	3429
581	4764	3421
582	4773	3414
583	4782	3406
584	4790	3398
585	4800	3391
586	4809	3384
587	4818	3376
588	4827	3368
589	4836	3360
590	4845	3353
591	4854	3345
592	4863	3338
593	4873	3331
594	4882	3323
595	4891	3315
596	4899	3307
597	4907	3299
598	4916	3291
599	4925	3283
600	4933	3275
601	4943	3268
602	4951	3260
603	4960	3252
604	4970	3245
605	4978	3237
606	4987	3228
607	4995	3220
608	5003	3212
609	5011	3203
610	5019	3195
611	5028	3187
612	5035	3179
613	5044	3171
614	5052	3163
615	5061	3155
616	5069	3146
617	5078	3138
618	5086	3131
619	5095	3123
620	5103	3114
621	5112	3106
622	5121	3098
623	5129	3090
624	5138	3082
625	5146	3074
626	5154	3066
627	5162	3058
628	5171	3050
629	5180	3042
630	5188	3034
631	5197	3026
632	5205	3018
633	5214	3010
634	5221	3001
635	5230	2993
636	5238	2985
637	5246	2976
638	5254	2968
639	5263	2960
640	5271	2952
641	5279	2944
642	5288	2936
643	5296	2927
644	5305	2919
645	5314	2912
646	5322	2904
647	5331	2896
648	5340	2888
649	5350	2880
650	5359	2873
651	5368	2865
652	5377	2857
653	5386	2849
654	5395	2841
655	5404	2834
656	5414	2826
657	5423	2819
658	5433	2811
659	5441	2803
660	5450	2795
661	5461	2788
662	5471	2781
663	5482	2774
664	5492	2766
665	5502	2759
666	5511	2751
667	5520	2743
668	5530	2736
669	5539	2728
670	5548	2720
671	5557	2712
672	5566	2704
673	5574	2696
674	5582	2688
675	5591	2679
676	5599	2671
677	5608	2663
678	5616	2655
679	5625	2647
680	5633	2638
681	5642	2630
682	5650	2622
683	5659	2614
684	5666	2605
685	5674	2597
686	5682	2589
687	5691	2580
688	5699	2572
689	5708	2564
690	5716	2556
691	5724	2547
692	5733	2539
693	5741	2531
694	5751	2523
695	5759	2515
696	5768	2507
697	5777	2499
698	5786	2491
699	5794	2483
700	5802	2475
701	5811	2466
702	5819	2458
703	5828	2450
704	5837	2442
705	5845	2434
706	5854	2426
707	5862	2417
708	5870	2409
709	5879	2401
710	5888	2393
711	5896	2385
712	5904	2376
713	5913	2368
714	5922	2360
715	5930	2352
716	5939	2344
717	5948	2336
718	5956	2327
719	5964	2319
720	5973	2311
721	5982	2303
722	5991	2295
723	5999	2287
724	6008	2279
725	6016	2270
726	6024	2262
727	6032	2254
728	6041	2245
729	6049	2237
730	6058	2229
731	6066	2221
732	6074	2212
733	6083	2204
734	6092	2196
735	6101	2188
736	6109	2180
737	6118	2172
738	6127	2164
739	6135	2155
740	6144	2147
741	6153	2139
742	6161	2131
743	6169	2122
744	6178	2114
745	6187	2106
746	6195	2098
747	6204	2090
748	6212	2081
749	6220	2073
750	6229	2065
751	6239	2057
752	6247	2049
753	6256	2041
754	6264	2032
755	6273	2024
756	6282	2016
757	6290	2008
758	6298	1999
759	6306	1991
760	6315	1983
761	6323	1975
762	6331	1966
763	6340	1958
764	6348	1950
765	6357	1942
766	6366	1933
767	6377	1926
768	6386	1918
769	6394	1910
770	6403	1901
771	6411	1893
772	6420	1885
773	6429	1877
774	6438	1869
775	6446	1860
776	6454	1852
777	6462	1844
778	6470	1835
779	6478	1827
780	6487	1819
781	6495	1810
782	6503	1802
783	6511	1794
784	6520	1785
785	6528	1777
786	6535	1768
787	6544	1760
788	6552	1752
789	6560	1743
790	6569	1735
791	6577	1727
792	6586	1719
793	6596	1711
794	6604	1702
795	6612	1694
796	6621	1686
797	6630	1678
798	6639	1670
799	6648	1662
800	6656	1653
801	6665	1645
802	6674	1637
803	6683	1629
804	6692	1621
805	6700	1612
806	6709	1604
807	6717	1596
808	6725	1587
809	6734	1579
810	6742	1571
811	6750	1562
812	6759	1554
813	6767	1546
814	6775	1537
815	6784	1529
816	6793	1521
817	6802	1513
818	6810	1505
819	6819	1496
820	6827	1488
821	6836	1480
822	6845	1472
823	6853	1463
824	6862	1455
825	6870	1447
826	6879	1439
827	6887	1430
828	6896	1422
829	6904	1414
830	6913	1405
831	6921	1397
832	6929	1389
833	6938	1381
834	6946	1372
835	6955	1364
836	6963	1356
837	6972	1347
838	6980	1339
839	6988	1331
840	6997	1322
841	7005	1314
842	7014	1306
843	7022	1297
844	7030	1289
845	7038	1281
846	7046	1272
847	7054	1264
848	7063	1256
849	7071	1247
850	7080	1239
851	7088	1231
852	7096	1222
853	7104	1214
854	7112	1206
855	7121	1198
856	7129	1189
857	7137	1181
858	7146	1173
859	7154	1164
860	7162	1156
861	7171	1148
862	7179	1139
863	7188	1131
864	7196	1123
865	7206	1115
866	7214	1106
867	7223	1098
868	7232	1090
869	7240	1081
870	7248	1073
871	7257	1065
872	7265	1057
873	7274	1048
874	7282	1040
875	7291	1032
876	7299	1023
877	7308	1015
878	7317	1007
879	7324	998
880	7333	990
881	7341	982
882	7350	973
883	7359	965
884	7368	957
885	7378	949
886	7387	941
887	7396	932
888	7405	924
889	7413	916
890	7423	908
891	7432	899
892	7440	891
893	7450	883
894	7459	875
895	7467	866
896	7475	858
897	7483	850
898	7491	841
899	7500	833
900	7508	825
901	7516	816
902	7525	808
903	7533	800
904	7541	791
905	7550	783
906	7559	775
907	7568	766
908	7577	758
909	7586	750
910	7595	742
911	7603	733
912	7611	725
913	7619	716
914	7628	708
915	7636	700
916	7645	691
917	7653	683
918	7661	675
919	7670	666
920	7679	658
921	7687	650
922	7695	642
923	7703	633
924	7712	625
925	7720	616
926	7728	608
927	7736	600
928	7745	591
929	7753	583
930	7761	575
931	7769	566
932	7778	558
933	7787	550
934	7796	541
935	7805	533
936	7813	525
937	7822	517
938	7830	508
939	7839	500
940	7848	492
941	7857	483
942	7865	475
943	7873	467
944	7882	458
945	7890	450
946	7898	442
947	7906	433
948	7915	425
949	7923	417
950	7932	408
951	7940	400
952	7948	392
953	7957	383
954	7966	375
955	7974	367
956	7983	358
957	7991	350
958	7999	342
959	8007	333
960	8016	325
961	8025	316
962	8034	308
963	8041	300
964	8050	291
965	8058	283
966	8066	275
967	8075	266
968	8083	258
969	8092	250
970	8100	241
971	8108	233
972	8115	225
973	8124	216
974	8132	208
975	8141	200
976	8149	191
977	8158	183
978	8165	175
979	8174	166
980	8182	158
981	8191	150
982	8199	141
983	8207	133
984	8215	125
985	8223	116
986	8232	108
987	8240	100
988	8248	91
989	8257	83
990	8265	75
991	8273	66
992	8281	58
993	8290	50
994	8298	41
995	8307	33
996	8315	25
997	8324	16
998	8333	8
999	8341	0
