iter	Logloss
0	0.6627372829
1	0.6343905694
2	0.6075399466
3	0.5838243686
4	0.5596544379
5	0.5343629585
6	0.5108977084
7	0.4905560943
8	0.4719768667
9	0.4534664805
10	0.438398268
11	0.4258614347
12	0.4122437227
13	0.400874723
14	0.387340376
15	0.3751839432
16	0.3647322599
17	0.3554662233
18	0.3465919394
19	0.3374722692
20	0.3282838044
21	0.322200014
22	0.3151869337
23	0.3086213077
24	0.3027616177
25	0.296623267
26	0.2918398546
27	0.287566511
28	0.2818168099
29	0.2771867504
30	0.2727444262
31	0.2675028343
32	0.2631448302
33	0.2589968861
34	0.254929378
35	0.2509988668
36	0.2471932615
37	0.2444762574
38	0.2423734846
39	0.2401684245
40	0.238253072
41	0.2352886536
42	0.233014621
43	0.2301886878
44	0.2285469731
45	0.2261279403
46	0.2238656091
47	0.2225445908
48	0.2209160229
49	0.2190882867
50	0.2176986933
51	0.2161998893
52	0.2150354637
53	0.2131114676
54	0.2113622522
55	0.2096900961
56	0.2088104503
57	0.2074447574
58	0.2060925491
59	0.2048339873
60	0.2034934256
61	0.2023076024
62	0.2007456663
63	0.1996472362
64	0.1984595767
65	0.1976329526
66	0.1968160653
67	0.1960775081
68	0.1949437068
69	0.1940482431
70	0.1932523834
71	0.1922801036
72	0.1912930555
73	0.1905145666
74	0.1894521874
75	0.1888774511
76	0.1881820283
77	0.1874440987
78	0.1867463538
79	0.1860341658
80	0.185385484
81	0.1846146507
82	0.1837997387
83	0.1831594466
84	0.1826518604
85	0.1822932375
86	0.1820247707
87	0.1813444511
88	0.1807753866
89	0.1803674585
90	0.1800048629
91	0.1795291167
92	0.1789065739
93	0.1784735902
94	0.1780790642
95	0.177474966
96	0.177162979
97	0.1766450392
98	0.1761969868
99	0.1759019583
100	0.1755962819
101	0.1751474798
102	0.1748050309
103	0.1745327974
104	0.174061094
105	0.1737265944
106	0.1734595336
107	0.1731782377
108	0.1727477112
109	0.1724790041
110	0.1720091024
111	0.1718388508
112	0.1715363814
113	0.1711531521
114	0.1708978812
115	0.170611413
116	0.1704008041
117	0.1701825292
118	0.1701557462
119	0.1698961049
120	0.1696457206
121	0.1694191764
122	0.169197725
123	0.1689527652
124	0.1687628504
125	0.1684804071
126	0.1680266348
127	0.1680174023
128	0.1677087249
129	0.1674842459
130	0.1673114574
131	0.1673024133
132	0.1671220812
133	0.1668531134
134	0.1668435911
135	0.1665529333
136	0.1664130464
137	0.1664042894
138	0.166218144
139	0.1658473619
140	0.1655638381
141	0.1655476595
142	0.1653530499
143	0.1651638014
144	0.1647781372
145	0.1646112449
146	0.1646028477
147	0.1643860993
148	0.1643860982
149	0.1641146121
150	0.1638724442
151	0.1637347396
152	0.1637252191
153	0.1636395059
154	0.1634777244
155	0.1634019651
156	0.1633633799
157	0.1633554095
158	0.1631547853
159	0.1631469794
160	0.1629829939
161	0.1627636944
162	0.1627542083
163	0.1625310973
164	0.1624458701
165	0.1621872743
166	0.1621777589
167	0.1620457957
168	0.1618327466
169	0.161667562
170	0.1614973562
171	0.1613307658
172	0.1611867815
173	0.1611735953
174	0.1610762003
175	0.1609699071
176	0.1608253498
177	0.1607627872
178	0.1607436776
179	0.1605762595
180	0.1605689174
181	0.1603690989
182	0.1602874265
183	0.1601460237
184	0.1599321266
185	0.1599141644
186	0.159645492
187	0.1594072026
188	0.1591765459
189	0.1591689394
190	0.1590429524
191	0.1588581481
192	0.1586001805
193	0.1584675892
194	0.1584606685
195	0.1584533365
196	0.1583433499
197	0.1580957691
198	0.1578479591
199	0.1578099263
200	0.1577614784
201	0.1576683642
202	0.1575736652
203	0.1575266023
204	0.1575201654
205	0.1575137888
206	0.1574993126
207	0.1574356537
208	0.1573046062
209	0.1572982914
210	0.157265827
211	0.1570636264
212	0.1570576439
213	0.1570041342
214	0.1569984971
215	0.156834537
216	0.1566120535
217	0.1564070273
218	0.156258408
219	0.156224934
220	0.1560387587
221	0.1560256423
222	0.1558283543
223	0.1557134168
224	0.1555251196
225	0.1554092805
226	0.1552917324
227	0.1551404444
228	0.1550063651
229	0.1550012354
230	0.1549962155
231	0.1549564072
232	0.1549230836
233	0.1549071178
234	0.1547820672
235	0.154713431
236	0.154574382
237	0.1545642773
238	0.1545180431
239	0.1545134317
240	0.1543354629
241	0.1543309484
242	0.1541729954
243	0.1541199907
244	0.1541100744
245	0.1538928855
246	0.1537528646
247	0.1536050589
248	0.1535094373
249	0.1535041775
250	0.1533640263
251	0.1532747553
252	0.1531973729
253	0.1530535114
254	0.152972447
255	0.1528893374
256	0.1527945157
257	0.1527057313
258	0.1526625242
259	0.152590569
260	0.1523977652
261	0.1523977644
262	0.1522941769
263	0.1521859517
264	0.1521770298
265	0.1519615075
266	0.1517498681
267	0.1517241861
268	0.1517202492
269	0.1516127053
270	0.1515662049
271	0.1515512899
272	0.1514871378
273	0.1513697186
274	0.1513244538
275	0.1512882676
276	0.1511421458
277	0.1509886582
278	0.1509407261
279	0.1509280431
280	0.150905411
281	0.1507319167
282	0.1506305213
283	0.1505061908
284	0.1505025374
285	0.1504559235
286	0.1503768319
287	0.1502778383
288	0.1502251151
289	0.1500167306
290	0.1498304016
291	0.1498304007
292	0.1497394296
293	0.1497203868
294	0.1496201383
295	0.149578865
296	0.1495167009
297	0.149367567
298	0.1492952345
299	0.1492784117
300	0.1490860897
301	0.1490860882
302	0.1490420994
303	0.1489727817
